event_definition,coding_system,code_name,concept,concept_name,tags,system,event_abbreviation,type,code_rounding_issue,code_issue_dot,code
Angina pectoris,Free_text,"","","",narrow,C,ANGINA,AESI,ANGINA_narrow,ANGINA_narrow,ANGINA_narrow
Angina pectoris,ICD10,Angina pectoris,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,I20,I20,I20
Angina pectoris,ICD10,Angina pectoris with documented spasm,"","",narrow,C,ANGINA,AESI,I20.1,I20.1,I20.1
Angina pectoris,ICD10,Angina pectoris- unspecified,"","",narrow,C,ANGINA,AESI,I20.9,I20.9,I20.9
Angina pectoris,ICD10,Angina pectoris- unspecified,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,I20.9,I20.9,I20.9
Angina pectoris,ICD10,Other forms of angina pectoris,"","",narrow,C,ANGINA,AESI,I20.8,I20.8,I20.8
Angina pectoris,ICD10,Unstable angina,"","",narrow,C,ANGINA,AESI,I20.0,I20.0,I20.0
Angina pectoris,ICD10CM,Angina of effort,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,I20.8,I20.8,I20.8
Angina pectoris,ICD10CM,Angina pectoris,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,I20,I20,I20
Angina pectoris,ICD10CM,Angina pectoris with documented spasm,"","",narrow,C,ANGINA,AESI,I20.1,I20.1,I20.1
Angina pectoris,ICD10CM,Angina pectoris- unspecified,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,I20.9,I20.9,I20.9
Angina pectoris,ICD10CM,Atherosclerosic heart disease of native coronary artery with refractory angina pectoris,"","",narrow,C,ANGINA,AESI,I25.112,I25.112,I25.112
Angina pectoris,ICD10CM,Atherosclerotic heart disease of native coronary artery with other forms of angina pectoris,"","",narrow,C,ANGINA,AESI,I25.118,I25.118,I25.118
Angina pectoris,ICD10CM,Atherosclerotic heart disease of native coronary artery with unspecified angina pectoris,"","",narrow,C,ANGINA,AESI,I25.119,I25.119,I25.119
Angina pectoris,ICD10CM,Other forms of angina pectoris,"","",narrow,C,ANGINA,AESI,I20.8,I20.8,I20.8
Angina pectoris,ICD10CM,Unstable angina,"","",narrow,C,ANGINA,AESI,I20.0,I20.0,I20.0
Angina pectoris,ICD10DA,Angina pectoris,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,I20,I20,I20
Angina pectoris,ICD10DA,Angina pectoris with documented ischemia,"","",narrow,C,ANGINA,AESI,I20.8E2,I208E2,I20.8E2
Angina pectoris,ICD10DA,Angina pectoris with documented spasm,"","",narrow,C,ANGINA,AESI,I20.1,I201,I20.1
Angina pectoris,ICD10DA,Angina pectoris- unspecified,"","",narrow,C,ANGINA,AESI,I20.9,I209,I20.9
Angina pectoris,ICD10DA,Atherosclerotic heart disease,"","",possible,C,ANGINA,AESI,I25.1,I251,I25.1
Angina pectoris,ICD10DA,Chronic ischemic heart disease UNS,"","",possible,C,ANGINA,AESI,I25.9,I259,I25.9
Angina pectoris,ICD10DA,Clinically assessed angina pectoris,"","",narrow,C,ANGINA,AESI,I20.8E1,I208E1,I20.8E1
Angina pectoris,ICD10DA,Clinically assessed unstable angina pectoris,"","",narrow,C,ANGINA,AESI,I20.0B,I200B,I20.0B
Angina pectoris,ICD10DA,Microvascular angina,"","",narrow,C,ANGINA,AESI,I20.8D,I208D,I20.8D
Angina pectoris,ICD10DA,Other forms of angina pectoris,"","",narrow,C,ANGINA,AESI,I20.8,I208,I20.8
