event_definition,coding_system,code_name,concept,concept_name,tags,system,event_abbreviation,type,code_issue_dot,code
Anaemia in ulcerative colitis,ICD10,Anaemia in other chronic diseases classified elsewhere,C0477312,Anemia in other chronic diseases classified elsewhere,narrow,B,ANAEMIACOLITIS,AESI,D63.8,D63.8
Anaemia in ulcerative colitis,ICD10,Anaemia- unspecified,C0002871,Anemia,narrow,B,ANAEMIACOLITIS,AESI,D64.9,D64.9
Anaemia in ulcerative colitis,ICD10,Folate deficiency anaemia,-,-,narrow,B,ANAEMIACOLITIS,AESI,D52,D52
Anaemia in ulcerative colitis,ICD10,Folate deficiency anaemia- unspecified,-,-,narrow,B,ANAEMIACOLITIS,AESI,D52.9,D52.9
Anaemia in ulcerative colitis,ICD10,Hereditary sideroblastic anaemia,-,-,narrow,B,ANAEMIACOLITIS,AESI,D64.0,D64.0
Anaemia in ulcerative colitis,ICD10,Iron deficiency anaemia,C0162316,Iron deficiency anemia,narrow,B,ANAEMIACOLITIS,AESI,D50,D50
Anaemia in ulcerative colitis,ICD10,Iron deficiency anaemia secondary to blood loss (chronic),C0154286,Iron deficiency anemia secondary to chronic blood loss,narrow,B,ANAEMIACOLITIS,AESI,D50.0,D50.0
Anaemia in ulcerative colitis,ICD10,Iron deficiency anaemia- unspecified,C0162316,Iron deficiency anemia,narrow,B,ANAEMIACOLITIS,AESI,D50.9,D50.9
Anaemia in ulcerative colitis,ICD10,Nutritional anaemia- unspecified,-,-,possible,B,ANAEMIACOLITIS,AESI,D53.9,D53.9
Anaemia in ulcerative colitis,ICD10,Other anaemias,C0472702,Anemia other-unspecified,narrow,B,ANAEMIACOLITIS,AESI,D64,D64
Anaemia in ulcerative colitis,ICD10,Other folate deficiency anaemias,-,-,narrow,B,ANAEMIACOLITIS,AESI,D52.8,D52.8
Anaemia in ulcerative colitis,ICD10,Other iron deficiency anaemias,C0477300,Other iron deficiency anemias,narrow,B,ANAEMIACOLITIS,AESI,D50.8,D50.8
Anaemia in ulcerative colitis,ICD10,Other megaloblastic anaemias- not elsewhere classified,-,-,narrow,B,ANAEMIACOLITIS,AESI,D53.1,D53.1
Anaemia in ulcerative colitis,ICD10,Other nutritional anaemias,-,-,possible,B,ANAEMIACOLITIS,AESI,D53,D53
Anaemia in ulcerative colitis,ICD10,Other sideroblastic anaemias,-,-,narrow,B,ANAEMIACOLITIS,AESI,D64.3,D64.3
Anaemia in ulcerative colitis,ICD10,Other specified anaemias,C0029744,Other specified anemias,narrow,B,ANAEMIACOLITIS,AESI,D64.8,D64.8
Anaemia in ulcerative colitis,ICD10,Other specified nutritional anaemias,-,-,possible,B,ANAEMIACOLITIS,AESI,D53.8,D53.8
Anaemia in ulcerative colitis,ICD10,Other vitamin B12 deficiency anaemias,-,-,narrow,B,ANAEMIACOLITIS,AESI,D51.8,D51.8
Anaemia in ulcerative colitis,ICD10,Protein deficiency anaemia,-,-,narrow,B,ANAEMIACOLITIS,AESI,D53.0,D53.0
Anaemia in ulcerative colitis,ICD10,Scorbutic anaemia,-,-,narrow,B,ANAEMIACOLITIS,AESI,D53.2,D53.2
Anaemia in ulcerative colitis,ICD10,Secondary sideroblastic anaemia due to disease,-,-,narrow,B,ANAEMIACOLITIS,AESI,D64.1,D64.1
Anaemia in ulcerative colitis,ICD10,Vitamin B12 deficiency anaemia,-,-,narrow,B,ANAEMIACOLITIS,AESI,D51,D51
Anaemia in ulcerative colitis,ICD10,Vitamin B12 deficiency anaemia due to intrinsic factor deficiency,-,-,narrow,B,ANAEMIACOLITIS,AESI,D51.0,D51.0
Anaemia in ulcerative colitis,ICD10,Vitamin B12 deficiency anaemia due to selective vitamin B12 malabsorption with proteinuria,-,-,narrow,B,ANAEMIACOLITIS,AESI,D51.1,D51.1
Anaemia in ulcerative colitis,ICD10,Vitamin B12 deficiency anaemia- unspecified,-,-,narrow,B,ANAEMIACOLITIS,AESI,D51.9,D51.9
Anaemia in ulcerative colitis,ICD10CM,Anemia in other chronic diseases classified elsewhere,C0477312,Anemia in other chronic diseases classified elsewhere,narrow,B,ANAEMIACOLITIS,AESI,D63.8,D63.8
Anaemia in ulcerative colitis,ICD10CM,Anemia- unspecified,C0002871,Anemia,narrow,B,ANAEMIACOLITIS,AESI,D64.9,D64.9
Anaemia in ulcerative colitis,ICD10CM,Folate deficiency anemia,-,-,narrow,B,ANAEMIACOLITIS,AESI,D52,D52
Anaemia in ulcerative colitis,ICD10CM,Folate deficiency anemia- unspecified,-,-,narrow,B,ANAEMIACOLITIS,AESI,D52.9,D52.9
Anaemia in ulcerative colitis,ICD10CM,Iron deficiency anemia,C0162316,Iron deficiency anemia,narrow,B,ANAEMIACOLITIS,AESI,D50,D50
Anaemia in ulcerative colitis,ICD10CM,Iron deficiency anemia secondary to blood loss (chronic),C0154286,Iron deficiency anemia secondary to chronic blood loss,narrow,B,ANAEMIACOLITIS,AESI,D50.0,D50.0
Anaemia in ulcerative colitis,ICD10CM,Iron deficiency anemia- unspecified,C0162316,Iron deficiency anemia,narrow,B,ANAEMIACOLITIS,AESI,D50.9,D50.9
Anaemia in ulcerative colitis,ICD10CM,Other anemias,C0472702,Anemia other-unspecified,narrow,B,ANAEMIACOLITIS,AESI,D64,D64
Anaemia in ulcerative colitis,ICD10CM,Other folate deficiency anemias,-,-,narrow,B,ANAEMIACOLITIS,AESI,D52.8,D52.8
Anaemia in ulcerative colitis,ICD10CM,Other iron deficiency anemias,C0477300,Other iron deficiency anemias,narrow,B,ANAEMIACOLITIS,AESI,D50.8,D50.8
Anaemia in ulcerative colitis,ICD10CM,Other megaloblastic anemias- not elsewhere classified,-,-,narrow,B,ANAEMIACOLITIS,AESI,D53.1,D53.1
Anaemia in ulcerative colitis,ICD10CM,Other nutritional anemias,-,-,possible,B,ANAEMIACOLITIS,AESI,D53,D53
Anaemia in ulcerative colitis,ICD10CM,Other specified anemias,C0029744,Other specified anemias,narrow,B,ANAEMIACOLITIS,AESI,D64.8,D64.8
Anaemia in ulcerative colitis,ICD10CM,Other specified anemias,C0029744,Other specified anemias,narrow,B,ANAEMIACOLITIS,AESI,D64.89,D64.89
Anaemia in ulcerative colitis,ICD10CM,Other specified nutritional anemias,-,-,possible,B,ANAEMIACOLITIS,AESI,D53.8,D53.8
Anaemia in ulcerative colitis,ICD10CM,Other vitamin B12 deficiency anemias,-,-,narrow,B,ANAEMIACOLITIS,AESI,D51.8,D51.8
Anaemia in ulcerative colitis,ICD10CM,Protein deficiency anemia,-,-,narrow,B,ANAEMIACOLITIS,AESI,D53.0,D53.0
Anaemia in ulcerative colitis,ICD10CM,Scorbutic anemia,-,-,narrow,B,ANAEMIACOLITIS,AESI,D53.2,D53.2
Anaemia in ulcerative colitis,ICD10CM,Secondary sideroblastic anemia due to disease,-,-,narrow,B,ANAEMIACOLITIS,AESI,D64.1,D64.1
Anaemia in ulcerative colitis,ICD10CM,Sideroblastic anemia NOS,C0002896,Sideroblastic anemia,narrow,B,ANAEMIACOLITIS,AESI,D64.3,D64.3
Anaemia in ulcerative colitis,ICD10CM,Simple chronic anemia,C0581384,Chronic anemia,narrow,B,ANAEMIACOLITIS,AESI,D53.9,D53.9
Anaemia in ulcerative colitis,ICD10CM,Transcobalamin II deficiency,-,-,narrow,B,ANAEMIACOLITIS,AESI,D51.2,D51.2
Anaemia in ulcerative colitis,ICD10CM,Vitamin B12 deficiency anemia,-,-,narrow,B,ANAEMIACOLITIS,AESI,D51,D51
Anaemia in ulcerative colitis,ICD10CM,Vitamin B12 deficiency anemia due to intrinsic factor deficiency,-,-,narrow,B,ANAEMIACOLITIS,AESI,D51.0,D51.0
Anaemia in ulcerative colitis,ICD10CM,Vitamin B12 deficiency anemia due to selective vitamin B12 malabsorption with proteinuria,-,-,narrow,B,ANAEMIACOLITIS,AESI,D51.1,D51.1
Anaemia in ulcerative colitis,ICD10CM,Vitamin B12 deficiency anemia- unspecified,-,-,narrow,B,ANAEMIACOLITIS,AESI,D51.9,D51.9
Anaemia in ulcerative colitis,ICD10DA,Anden anÃ¦mi,C0029744,Other specified anemias,narrow,B,ANAEMIACOLITIS,AESI,D648,D64.8
Anaemia in ulcerative colitis,ICD10DA,Andre anÃ¦mier,C0472702,Anemia other-unspecified,narrow,B,ANAEMIACOLITIS,AESI,D64,D64
Anaemia in ulcerative colitis,ICD10DA,AnÃ¦mi UNS,C0002871,Anemia,narrow,B,ANAEMIACOLITIS,AESI,D649,D64.9
Anaemia in ulcerative colitis,ICD10DA,AnÃ¦mi ved anden kronisk sygdom klassificeret andetsteds,C0477312,Anemia in other chronic diseases classified elsewhere,narrow,B,ANAEMIACOLITIS,AESI,D638,D63.8
Anaemia in ulcerative colitis,ICD10DA,Hypokrom anÃ¦mi UNS,-,-,narrow,B,ANAEMIACOLITIS,AESI,D509A,D50.9A
Anaemia in ulcerative colitis,ICD10DA,JernmangelanÃ¦mi,C0162316,Iron deficiency anemia,narrow,B,ANAEMIACOLITIS,AESI,D50,D50
Anaemia in ulcerative colitis,ICD10DA,JernmangelanÃ¦mi UNS,C0162316,Iron deficiency anemia,narrow,B,ANAEMIACOLITIS,AESI,D509,D50.9
Anaemia in ulcerative colitis,ICD10DA,JernmangelanÃ¦mi af anden Ã¥rsag,C0477300,Other iron deficiency anemias,narrow,B,ANAEMIACOLITIS,AESI,D508,D50.8
Anaemia in ulcerative colitis,ICD10DA,JernmangelanÃ¦mi forÃ¥rsaget af insufficient indtag af jern,-,-,narrow,B,ANAEMIACOLITIS,AESI,D508A,D50.8A
Anaemia in ulcerative colitis,ICD10DA,Kronisk blÃ¸dningsanÃ¦mi,C0154286,Iron deficiency anemia secondary to chronic blood loss,narrow,B,ANAEMIACOLITIS,AESI,D500,D50.0
