event_definition,coding_system,code_issue_dot,code_name,concept,concept_name,tags,system,event_abbreviation,type,code
Blood transfusion as UC flare up,CCAM,FELF001,Transfusion de concentré de globules rouges d-un volume supérieur à une demimasse sanguine- au cours d-une intervention sous anesthésie générale ou locorégionale) ,,,possible,TP,BLOODTRANSFUSIONUC,AESI,FELF001
Blood transfusion as UC flare up,CCAM,FELF008,Transfusion de concentré de globules rouges- à domicile),,,narrow,TP,BLOODTRANSFUSIONUC,AESI,FELF008
Blood transfusion as UC flare up,CCAM,FELF011,Transfusion de concentré de globules rouges d-un volume inférieur à une demimasse sanguine) ,,,narrow,TP,BLOODTRANSFUSIONUC,AESI,FELF011
Blood transfusion as UC flare up,CCAM,FEPF003,Séance d-érythraphérèse thérapeutique avec transfusion de globules rouges [échange érythrocytaire],,,narrow,TP,BLOODTRANSFUSIONUC,AESI,FEPF003
Blood transfusion as UC flare up,ICD10,Z51.3,Blood transfusion without reported diagnosis,C0260780,Encounter due to blood transfusion- without reported diagnosis,narrow,TP,BLOODTRANSFUSIONUC,AESI,Z51.3
Blood transfusion as UC flare up,ICD10PCS,30233N,Administration @ Circulatory @ Transfusion @ Peripheral Vein @ Percutaneous @ Red Blood Cells,C2490133,Administration @ Circulatory @ Transfusion @ Peripheral Vein @ Percutaneous @ Red Blood Cells,narrow,TP,BLOODTRANSFUSIONUC,AESI,302.33N
Blood transfusion as UC flare up,ICD10PCS,30233N1,Transfusion of Nonautologous Red Blood Cells into Peripheral Vein- Percutaneous Approach,C2452670,Transfusion of Nonautologous Red Blood Cells into Peripheral Vein- Percutaneous Approach,narrow,TP,BLOODTRANSFUSIONUC,AESI,302.33N1
Blood transfusion as UC flare up,ICD9PROC,99.0,Transfusion of blood and blood components,C0371802,Transfusion- blood or blood components,narrow,TP,BLOODTRANSFUSIONUC,AESI,99.0
Blood transfusion as UC flare up,ICD9PROC,99.05,Transfusion of platelets,C0086818,Platelet Transfusion,narrow,TP,BLOODTRANSFUSIONUC,AESI,99.05
Blood transfusion as UC flare up,ICD9PROC,V58.2,Blood transfusion- without reported diagnosis,C0260780,Encounter due to blood transfusion- without reported diagnosis,narrow,TP,BLOODTRANSFUSIONUC,AESI,V58.2
Blood transfusion as UC flare up,PROCDA,BOQA,Behandling med blodtransfusion,,,narrow,TP,BLOODTRANSFUSIONUC,AESI,BOQA
Blood transfusion as UC flare up,PROCDA,BOQA0,Blodtransfusion,,,narrow,TP,BLOODTRANSFUSIONUC,AESI,BOQA0
Blood transfusion as UC flare up,PROCDA,BOQA00,Blodtransfusion op til 1 liter,,,narrow,TP,BLOODTRANSFUSIONUC,AESI,BOQA00
