event_definition,coding_system,code_name,concept,concept_name,tags,system,event_abbreviation,type,code_issue_dot,code,Type_codelist,EXPOSURE,COV,INDICATION,ALTERNATIVES,Algorithm,Algorithm_input,DP,EXACT_MATCH,Label,...12,Start window,End window
Angina pectoris,Free_text,"","","",narrow,C,ANGINA,AESI,ANGINA_narrow,ANGINA_narrow,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,ICD10,Angina pectoris,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,I20,I20,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,ICD10,Angina pectoris with documented spasm,"","",narrow,C,ANGINA,AESI,I20.1,I20.1,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,ICD10,Angina pectoris- unspecified,"","",narrow,C,ANGINA,AESI,I20.9,I20.9,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,ICD10,Angina pectoris- unspecified,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,I20.9,I20.9,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,ICD10,Other forms of angina pectoris,"","",narrow,C,ANGINA,AESI,I20.8,I20.8,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,ICD10,Unstable angina,"","",narrow,C,ANGINA,AESI,I20.0,I20.0,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,ICD10CM,Angina of effort,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,I20.8,I20.8,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,ICD10CM,Angina pectoris,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,I20,I20,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,ICD10CM,Angina pectoris with documented spasm,"","",narrow,C,ANGINA,AESI,I20.1,I20.1,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
