event_definition,coding_system,code_name,concept,concept_name,tags,system,event_abbreviation,type,code_issue_dot,code
Atopic dermatitis,ICD10,Atopic dermatitis,"""","""",narrow,Im,ATOPDERMATITIS,COV,L20,L20
Atopic dermatitis,ICD10,Atopic dermatitis- unspecified,"""","""",narrow,Im,ATOPDERMATITIS,COV,L20.9,L20.9
Atopic dermatitis,ICD10,Besnier prurigo,"""","""",narrow,Im,ATOPDERMATITIS,COV,L20.0,L20.0
Atopic dermatitis,ICD10,Dermatitis- unspecified,C0011603,Dermatitis,narrow,Im,ATOPDERMATITIS,COV,L30.9,L30.9
Atopic dermatitis,ICD10,Other atopic dermatitis,"""","""",narrow,Im,ATOPDERMATITIS,COV,L20.8,L20.8
Atopic dermatitis,ICD10CM,Atopic dermatitis- unspecified,"""","""",narrow,Im,ATOPDERMATITIS,COV,L20.9,L20.9
Atopic dermatitis,ICD10CM,Atopic neurodermatitis,"""","""",narrow,Im,ATOPDERMATITIS,COV,L20.81,L20.81
Atopic dermatitis,ICD10CM,Besnier-s prurigo,"""","""",narrow,Im,ATOPDERMATITIS,COV,L20.0,L20.0
Atopic dermatitis,ICD10CM,Dermatitis- unspecified,C0011603,Dermatitis,narrow,Im,ATOPDERMATITIS,COV,L30.9,L30.9
Atopic dermatitis,ICD10CM,Eczema NOS,C0013595,Eczema,narrow,Im,ATOPDERMATITIS,COV,L30.9,L30.9
Atopic dermatitis,ICD10CM,Flexural eczema,"""","""",narrow,Im,ATOPDERMATITIS,COV,L20.82,L20.82
Atopic dermatitis,ICD10CM,Infantile (acute) (chronic) eczema,"""","""",narrow,Im,ATOPDERMATITIS,COV,L20.83,L20.83
Atopic dermatitis,ICD10CM,Intrinsic (allergic) eczema,"""","""",narrow,Im,ATOPDERMATITIS,COV,L20.84,L20.84
Atopic dermatitis,ICD10CM,Other atopic dermatitis,"""","""",narrow,Im,ATOPDERMATITIS,COV,L20.89,L20.89
Atopic dermatitis,ICD10DA,Allergisk kontaktdermatitis,C0162820,Dermatitis- Allergic Contact,narrow,Im,ATOPDERMATITIS,COV,L23,L23
Atopic dermatitis,ICD10DA,Allergisk kontaktdermatitis UNS,C0162820,Dermatitis- Allergic Contact,narrow,Im,ATOPDERMATITIS,COV,L239,L23.9
Atopic dermatitis,ICD10DA,Anden form for atopisk dermatitis,"""","""",narrow,Im,ATOPDERMATITIS,COV,L208,L20.8
Atopic dermatitis,ICD10DA,Atopisk dermatitis UNS,C0011615,Dermatitis- Atopic,narrow,Im,ATOPDERMATITIS,COV,L209,L20.9
Atopic dermatitis,ICD10DA,Atopisk eksem,C0011615,Dermatitis- Atopic,narrow,Im,ATOPDERMATITIS,COV,L20,L20
Atopic dermatitis,ICD10DA,Atopisk håndeksem,"""","""",narrow,Im,ATOPDERMATITIS,COV,L208D,L20.8D
Atopic dermatitis,ICD10DA,Dermatitis plantaris sicca,"""","""",possible,Im,ATOPDERMATITIS,COV,L208B,L20.8B
Atopic dermatitis,ICD10DA,Eksfoliativ dermatitis,C0011606,Exfoliative dermatitis,narrow,Im,ATOPDERMATITIS,COV,L26,L26
Atopic dermatitis,ICD10DA,Keratosis pilaris,"""","""",possible,Im,ATOPDERMATITIS,COV,L208C,L20.8C
Atopic dermatitis,ICD10DA,Prurigo Besnier,C2242769,Besnier-s prurigo,narrow,Im,ATOPDERMATITIS,COV,L200,L20.0
Atopic dermatitis,ICD9CM,Eczema herpeticum,"""","""",narrow,Im,ATOPDERMATITIS,COV,054,054
Atopic dermatitis,ICD9CM,Eczematous dermatitis of eyelid,"""","""",narrow,Im,ATOPDERMATITIS,COV,373.31,373.31
Atopic dermatitis,ICD9CM,Other atopic dermatitis and related conditions,"""","""",narrow,Im,ATOPDERMATITIS,COV,691.8,691.8
Atopic dermatitis,ICD9CMP,Eczema herpeticum,"""","""",narrow,Im,ATOPDERMATITIS,COV,054,054
Atopic dermatitis,ICD9CMP,Eczematous dermatitis of eyelid,"""","""",narrow,Im,ATOPDERMATITIS,COV,373.31,373.31
Atopic dermatitis,ICD9CMP,Other atopic dermatitis and related conditions,"""","""",narrow,Im,ATOPDERMATITIS,COV,691.8,691.8
Atopic dermatitis,ICPC,Atopic dermatitis-eczema,"""","""",narrow,Im,ATOPDERMATITIS,COV,S87,S87
Atopic dermatitis,ICPC,Contact eczema-other eczema,"""","""",narrow,Im,ATOPDERMATITIS,COV,S88,S88
Atopic dermatitis,ICPC2P,Dermatitis,C0011603,Dermatitis,narrow,Im,ATOPDERMATITIS,COV,S88005,S88005
Atopic dermatitis,ICPC2P,Dermatosis,C0037274,Dermatologic disorders,possible,Im,ATOPDERMATITIS,COV,S99043,S99043
Atopic dermatitis,ICPC2P,Disease-skin,C0037274,Dermatologic disorders,possible,Im,ATOPDERMATITIS,COV,S99037,S99037
Atopic dermatitis,ICPC2P,Eczema,C0013595,Eczema,narrow,Im,ATOPDERMATITIS,COV,S88006,S88006
Atopic dermatitis,MEDCODEID,ACD - Allergic contact dermatitis,"""","""",possible,Im,ATOPDERMATITIS,COV,5123451000006113,5123451000006113
Atopic dermatitis,MEDCODEID,AD - Atopic dermatitis,"""","""",narrow,Im,ATOPDERMATITIS,COV,2884341000006119,2884341000006119
Atopic dermatitis,MEDCODEID,Acroangiodermatitis of skin,"""","""",possible,Im,ATOPDERMATITIS,COV,12083081000006111,12083081000006111
Atopic dermatitis,MEDCODEID,Acrodermatitis,"""","""",possible,Im,ATOPDERMATITIS,COV,2630821000006111,2630821000006111
Atopic dermatitis,MEDCODEID,Acrodermatitis atrophicans chronica,"""","""",possible,Im,ATOPDERMATITIS,COV,8309018,8309018
Atopic dermatitis,MEDCODEID,Acrodermatitis continua,"""","""",possible,Im,ATOPDERMATITIS,COV,308751018,308751018
