Coding system,Code,Code name,Concept,Concept name,Tags,Comment,Edited by,Date,Clinical review 1,Reviewer 1,Date review 1,Clinical review 2,Reviewer 2,Date review 2
ICD10,D50,Iron deficiency anaemia,C0162316,Iron deficiency anemia,narrow,,,,sima,,13-August-2024,,,
ICD10,D50.0,Iron deficiency anaemia secondary to blood loss (chronic),C0154286,Iron deficiency anemia secondary to chronic blood loss,narrow,,,,sima,,13-August-2024,,,
ICD10,D50.1,Sideropenic dysphagia,-,-,exclude,Desc: code D50,,,sima,,13-August-2024,,,
ICD10,D50.8,Other iron deficiency anaemias,C0477300,Other iron deficiency anemias,narrow,,,,sima,,13-August-2024,,,
ICD10,D50.9,"Iron deficiency anaemia, unspecified",C0162316,Iron deficiency anemia,narrow,,,,sima,,13-August-2024,,,
ICD10,D51,Vitamin B12 deficiency anaemia,-,-,narrow,Desc: code D50-D53.9,,,sima,,13-August-2024,,,
ICD10,D51.0,Vitamin B12 deficiency anaemia due to intrinsic factor deficiency,-,-,narrow,Desc: code D50-D53.9,,,sima,,13-August-2024,,,
ICD10,D51.1,Vitamin B12 deficiency anaemia due to selective vitamin B12 malabsorption with proteinuria,-,-,narrow,Desc: code D50-D53.9,,,sima,,13-August-2024,,,
ICD10,D51.2,Transcobalamin II deficiency,-,-,exclude,Desc: code D50-D53.9,,,sima,,13-August-2024,,,
ICD10,D51.3,Other dietary vitamin B12 deficiency anaemia,-,-,exclude,Desc: code D50-D53.9,,,sima,,13-August-2024,,,
ICD10,D51.8,Other vitamin B12 deficiency anaemias,-,-,narrow,Desc: code D50-D53.9,,,sima,,13-August-2024,,,
ICD10,D51.9,"Vitamin B12 deficiency anaemia, unspecified",-,-,narrow,Desc: code D50-D53.9,,,sima,,13-August-2024,,,
ICD10,D52,Folate deficiency anaemia,-,-,narrow,Desc: code D50-D53.9,,,sima,,13-August-2024,,,
ICD10,D52.0,Dietary folate deficiency anaemia,-,-,exclude,Desc: code D50-D53.9,,,sima,,13-August-2024,,,
ICD10,D52.1,Drug-induced folate deficiency anaemia,-,-,exclude,Desc: code D50-D53.9,,,sima,,13-August-2024,,,
ICD10,D52.8,Other folate deficiency anaemias,-,-,narrow,Desc: code D50-D53.9,,,sima,,13-August-2024,,,
ICD10,D52.9,"Folate deficiency anaemia, unspecified",-,-,narrow,Desc: code D50-D53.9,,,sima,,13-August-2024,,,
ICD10,D53,Other nutritional anaemias,-,-,possible,Desc: code D50-D53.9,,,sima,,13-August-2024,,,
ICD10,D53.0,Protein deficiency anaemia,-,-,narrow,Desc: code D50-D53.9,,,sima,,13-August-2024,,,
ICD10,D53.1,"Other megaloblastic anaemias, not elsewhere classified",-,-,narrow,Desc: code D50-D53.9,,,sima,,13-August-2024,,,
ICD10,D53.2,Scorbutic anaemia,-,-,narrow,Desc: code D50-D53.9,,,sima,,13-August-2024,,,
ICD10,D53.8,Other specified nutritional anaemias,-,-,possible,Desc: code D50-D53.9,,,sima,,13-August-2024,,,
ICD10,D53.9,"Nutritional anaemia, unspecified",-,-,possible,Desc: code D50-D53.9,,,sima,,13-August-2024,,,
ICD10,D63.8,Anaemia in other chronic diseases classified elsewhere,C0477312,Anemia in other chronic diseases classified elsewhere,narrow,,,,sima,,13-August-2024,,,
ICD10,D64,Other anaemias,C0472702,Anemia other/unspecified,narrow,,,,sima,,13-August-2024,,,
ICD10,D64.0,Hereditary sideroblastic anaemia,-,-,narrow,Desc: code D64,,,sima,,13-August-2024,,,
ICD10,D64.1,Secondary sideroblastic anaemia due to disease,-,-,narrow,Desc: code D64,,,sima,,13-August-2024,,,
ICD10,D64.2,Secondary sideroblastic anaemia due to drugs and toxins,-,-,exclude,Desc: code D64,,,sima,,13-August-2024,,,
ICD10,D64.3,Other sideroblastic anaemias,-,-,narrow,Desc: code D64,,,sima,,13-August-2024,,,
