event_definition,coding_system,code_name,concept,concept_name,tags,system,event_abbreviation,type,code_issue_dot,code
Blood transfusion as UC flare up,ICD10,Blood transfusion without reported diagnosis,C0260780,Encounter due to blood transfusion- without reported diagnosis,narrow,TP,BLOODTRANSFUSIONUC,AESI,Z51.3,Z51.3
Blood transfusion as UC flare up,ICD10PCS,Administration @ Circulatory @ Transfusion @ Peripheral Vein @ Percutaneous @ Red Blood Cells,C2490133,Administration @ Circulatory @ Transfusion @ Peripheral Vein @ Percutaneous @ Red Blood Cells,narrow,TP,BLOODTRANSFUSIONUC,AESI,30233N,302.33N
Blood transfusion as UC flare up,ICD10PCS,Transfusion of Nonautologous Red Blood Cells into Peripheral Vein- Percutaneous Approach,C2452670,Transfusion of Nonautologous Red Blood Cells into Peripheral Vein- Percutaneous Approach,narrow,TP,BLOODTRANSFUSIONUC,AESI,30233N1,302.33N1
Blood transfusion as UC flare up,ICD9CM,Transfusion of blood and blood components,C0371802,Transfusion- blood or blood components,narrow,TP,BLOODTRANSFUSIONUC,AESI,99.0,99.0
Blood transfusion as UC flare up,ICD9CM,Transfusion of platelets,C0086818,Platelet Transfusion,narrow,TP,BLOODTRANSFUSIONUC,AESI,99.05,99.05
Blood transfusion as UC flare up,ICD9CM,Blood transfusion- without reported diagnosis,C0260780,Encounter due to blood transfusion- without reported diagnosis,narrow,TP,BLOODTRANSFUSIONUC,AESI,V58.2,V58.2
Blood transfusion as UC flare up,SCTSPA,servicio de medicina transfusional,C0587607,Transfusion medicine service,possible,TP,BLOODTRANSFUSIONUC,AESI,104075000,104075000
Blood transfusion as UC flare up,SCTSPA,transfusión de hemoderivado,C0005841,Blood Transfusion,narrow,TP,BLOODTRANSFUSIONUC,AESI,116859006,116859006
Blood transfusion as UC flare up,SCTSPA,transfusión de eritrocitos,C0086252,Red Blood Cell Transfusion,narrow,TP,BLOODTRANSFUSIONUC,AESI,116863004,116863004
Blood transfusion as UC flare up,SCTSPA,transfusión de plaquetas,C0086818,Platelet Transfusion,narrow,TP,BLOODTRANSFUSIONUC,AESI,12719002,12719002
Blood transfusion as UC flare up,SCTSPA,transfusión intravenosa de plaquetas,C0086818,Platelet Transfusion,narrow,TP,BLOODTRANSFUSIONUC,AESI,180208003,180208003
Blood transfusion as UC flare up,SCTSPA,transfusión de un componente sanguíneo,C0085430,Blood Component Transfusion,narrow,TP,BLOODTRANSFUSIONUC,AESI,54790000,54790000
Blood transfusion as UC flare up,SNOMEDCT_US,Transfusion medicine service,C0587607,Transfusion medicine service,possible,TP,BLOODTRANSFUSIONUC,AESI,104075000,104075000
Blood transfusion as UC flare up,SNOMEDCT_US,Transfusion of blood product,C0005841,Blood Transfusion,narrow,TP,BLOODTRANSFUSIONUC,AESI,116859006,116859006
Blood transfusion as UC flare up,SNOMEDCT_US,Transfusion of red blood cells,C0086252,Red Blood Cell Transfusion,narrow,TP,BLOODTRANSFUSIONUC,AESI,116863004,116863004
Blood transfusion as UC flare up,SNOMEDCT_US,Platelet transfusion,C0086818,Platelet Transfusion,narrow,TP,BLOODTRANSFUSIONUC,AESI,12719002,12719002
Blood transfusion as UC flare up,SNOMEDCT_US,Intravenous blood transfusion of platelets,C0086818,Platelet Transfusion,narrow,TP,BLOODTRANSFUSIONUC,AESI,180208003,180208003
Blood transfusion as UC flare up,SNOMEDCT_US,Transfusion of blood component,C0085430,Blood Component Transfusion,narrow,TP,BLOODTRANSFUSIONUC,AESI,54790000,54790000
Colectomy in Ulcerative colitis,ICD10PCS,Resection of Ascending Colon- Open Approach,C2409595,Resection of Ascending Colon- Open Approach,narrow,TP,COLECTOMY,AESI,0DTK0ZZ,0DT.K0ZZ
Colectomy in Ulcerative colitis,ICD10PCS,Resection of Ascending Colon- Percutaneous Endoscopic Approach,C2409597,Resection of Ascending Colon- Percutaneous Endoscopic Approach,narrow,TP,COLECTOMY,AESI,0DTK4ZZ,0DT.K4ZZ
Colectomy in Ulcerative colitis,ICD10PCS,Resection of Ascending Colon- Via Natural or Artificial Opening,C2409598,Resection of Ascending Colon- Via Natural or Artificial Opening,narrow,TP,COLECTOMY,AESI,0DTK7ZZ,0DT.K7ZZ
Colectomy in Ulcerative colitis,ICD10PCS,Resection of Ascending Colon- Via Natural or Artificial Opening Endoscopic,C2409599,Resection of Ascending Colon- Via Natural or Artificial Opening Endoscopic,narrow,TP,COLECTOMY,AESI,0DTK8ZZ,0DT.K8ZZ
Colectomy in Ulcerative colitis,ICD10PCS,Resection of Transverse Colon- Open Approach,C2409600,Resection of Transverse Colon- Open Approach,narrow,TP,COLECTOMY,AESI,0DTL0ZZ,0DT.L0ZZ
Colectomy in Ulcerative colitis,ICD10PCS,Resection of Transverse Colon- Percutaneous Endoscopic Approach,C2409602,Resection of Transverse Colon- Percutaneous Endoscopic Approach,narrow,TP,COLECTOMY,AESI,0DTL4ZZ,0DT.L4ZZ
Colectomy in Ulcerative colitis,ICD10PCS,Resection of Transverse Colon- Via Natural or Artificial Opening,C2409603,Resection of Transverse Colon- Via Natural or Artificial Opening,narrow,TP,COLECTOMY,AESI,0DTL7ZZ,0DT.L7ZZ
Colectomy in Ulcerative colitis,ICD10PCS,Resection of Transverse Colon- Via Natural or Artificial Opening Endoscopic,C2409604,Resection of Transverse Colon- Via Natural or Artificial Opening Endoscopic,narrow,TP,COLECTOMY,AESI,0DTL8ZZ,0DT.L8ZZ
Colectomy in Ulcerative colitis,ICD10PCS,Resection of Transverse Colon- Via Natural or Artificial Opening With Percutaneous Endoscopic Assistance,C4498031,Resection of Transverse Colon- Via Natural or Artificial Opening With Percutaneous Endoscopic Assistance,narrow,TP,COLECTOMY,AESI,0DTLFZZ,0DT.LFZZ
Colectomy in Ulcerative colitis,ICD10PCS,Resection of Descending Colon- Open Approach,C2409605,Resection of Descending Colon- Open Approach,narrow,TP,COLECTOMY,AESI,0DTM0ZZ,0DT.M0ZZ
Colectomy in Ulcerative colitis,ICD10PCS,Resection of Descending Colon- Percutaneous Endoscopic Approach,C2409607,Resection of Descending Colon- Percutaneous Endoscopic Approach,narrow,TP,COLECTOMY,AESI,0DTM4ZZ,0DT.M4ZZ
Colectomy in Ulcerative colitis,ICD10PCS,Resection of Descending Colon- Via Natural or Artificial Opening,C2409608,Resection of Descending Colon- Via Natural or Artificial Opening,narrow,TP,COLECTOMY,AESI,0DTM7ZZ,0DT.M7ZZ
Colectomy in Ulcerative colitis,ICD10PCS,Resection of Descending Colon- Via Natural or Artificial Opening Endoscopic,C2409609,Resection of Descending Colon- Via Natural or Artificial Opening Endoscopic,narrow,TP,COLECTOMY,AESI,0DTM8ZZ,0DT.M8ZZ
Colectomy in Ulcerative colitis,ICD10PCS,Resection of Descending Colon- Via Natural or Artificial Opening With Percutaneous Endoscopic Assistance,C4498034,Resection of Descending Colon- Via Natural or Artificial Opening With Percutaneous Endoscopic Assistance,narrow,TP,COLECTOMY,AESI,0DTMFZZ,0DT.MFZZ
Colectomy in Ulcerative colitis,ICD10PCS,Resection of Sigmoid Colon- Open Approach,C2409610,Resection of Sigmoid Colon- Open Approach,narrow,TP,COLECTOMY,AESI,0DTN0ZZ,0DT.N0ZZ
Colectomy in Ulcerative colitis,ICD10PCS,Resection of Sigmoid Colon- Percutaneous Endoscopic Approach,C2409612,Resection of Sigmoid Colon- Percutaneous Endoscopic Approach,narrow,TP,COLECTOMY,AESI,0DTN4ZZ,0DT.N4ZZ
Colectomy in Ulcerative colitis,ICD10PCS,Resection of Sigmoid Colon- Via Natural or Artificial Opening,C2409613,Resection of Sigmoid Colon- Via Natural or Artificial Opening,narrow,TP,COLECTOMY,AESI,0DTN7ZZ,0DT.N7ZZ
Colectomy in Ulcerative colitis,ICD10PCS,Resection of Sigmoid Colon- Via Natural or Artificial Opening Endoscopic,C2409614,Resection of Sigmoid Colon- Via Natural or Artificial Opening Endoscopic,narrow,TP,COLECTOMY,AESI,0DTN8ZZ,0DT.N8ZZ
Colectomy in Ulcerative colitis,ICD10PCS,Resection of Sigmoid Colon- Via Natural or Artificial Opening With Percutaneous Endoscopic Assistance,C4498037,Resection of Sigmoid Colon- Via Natural or Artificial Opening With Percutaneous Endoscopic Assistance,narrow,TP,COLECTOMY,AESI,0DTNFZZ,0DT.NFZZ
Colectomy in Ulcerative colitis,MEDCODEID,Other right hemicolectomy,C0192861,Right colectomy,narrow,TP,COLECTOMY,AESI,1221533013,1221533013
Colectomy in Ulcerative colitis,MEDCODEID,Other colectomy,C0009274,Colectomy,narrow,TP,COLECTOMY,AESI,1221534019,1221534019
Colectomy in Ulcerative colitis,MEDCODEID,Total excision of colon,C0192871,Total colectomy,narrow,TP,COLECTOMY,AESI,1225014019,1225014019
Colectomy in Ulcerative colitis,MEDCODEID,Excision of transverse colon,C0192863,Transverse colectomy,narrow,TP,COLECTOMY,AESI,1225143013,1225143013
Colectomy in Ulcerative colitis,MEDCODEID,Left hemicolectomy,C0192865,Left colectomy,narrow,TP,COLECTOMY,AESI,137056018,137056018
